doc/credits.html				Timm	2009	Feb	Who			 		|Credits
doc/who/jimh.html				Jimh	2009	Feb	Who					|Jim Hart
doc/who/ronl.html				Ronl	2009	Feb	Who					|Ronald Loui
doc/who/timm.html				Timm	2009	Feb	Who	 				|Tim Menzies
doc/who/ed.html					Ed		2009	Feb	Who						|Ed Morten
doc/who/mikelangman.html		Mikel	2009	Jan	Who					|Mike Langman
doc/who/arnoldr.html			ArnoldR	2009	Feb	Who					|Arnold Robbins
doc/who/steffen.html			Steffen	2009	Feb	Who					|Steffen Schuler 
doc/who/greatauk.html			Timm	2009	Feb	Who			 		|Great Auks

doc/awk100.html					Timm	2009	Jan	Awk100				|Awk100
doc/awk100/001argcol.html		Ronl	2009	Jan	Awk100	Argcol		|Argcol
doc/awk100/002baseballsim.html	Ronl	2009	Jan	Awk100	Baseballsim	|Basebase Sim
doc/awk100/003negotiate.html	Ronl	2009	Jan	Awk100	Negotiate	|Negotiate
doc/awk100/004sudoku.html		Jimh	2009	Jan	Awk100	Sudoku		|Sudoku
doc/awk100/005getYouTube.html	PeterK	2009	Jan	Awk100	WWW			|Get YouTube Vids
 
doc/advocacy.html				Timm	2009	Jan	Misc				|Advocacy
doc/community.html				Timm	2009	Jan	Misc				|Community
doc/contact.html				Timm	2009	Jan	Misc				|Contact
doc/index.html					Timm	2009	Jan	Misc				|Awk.info
doc/code.html					Timm	2009	Jan	Misc				|Coding
doc/mascot.html					Timm	2009	Jan	Misc	Mascot	 	|Mascot
doc/awk4ai.html					Ronl	2009	Jan	Misc				|Awk for AI
doc/history.html				Timm	2009	Jan	Misc				|History
doc/whygawk.html				Timm	2009	Jan	Misc	 			|Why Gawk?


doc/contribute.html				Timm	2009	Jan	Contribute			|How to contribute
doc/prettyprint.html			Timm	2009	Jan	Contribute			|Pretty print
doc/unittests.html				Timm	2009	Jan	Contribute			|Unit tests

doc/learning.html				Timm	2009	Jan	Learn				|Learning Awk
doc/teachingawk.html			Ronl	2009	Jan	Learn				|Teaching Awk
doc/keys2awk.html				Timm	2009	Jan	Learn				|Four Keys to Awk
doc/oneliners.html				Timm	2009	Jan	Learn	OneLiners	|One Liners
doc/awk1line.html				EricP	2009	Jan	Learn	OneLiners	|Handy One Liners
doc/explain1line.html				Timm	2009	Jan	Learn	OneLiners	|Explaining Awk One Liners
doc/tenliners.html				Timm	2009	Jan	Learn	TenLiners	|Ten Liners
doc/samples.html				Ronl	2009	Jan	Learn	TenLiners	|Samples of AWK

doc/tip/getline.html			Ed		2009	Jan	Tips	Getline 	|Getline
doc/tip/noforloops.html			Jimh	2009	Jan	Tips	Forloop		|Forloops

gawk/array/join.awk				Arnoldr	2009	Feb	Functionn	Arrays	Timm		|join.awk
gawk/array/array.awk				Timm	2009	Feb	Functionn	Arrays			|array.awk

doc/var/top10posters.html		Steffen	2009	Jan	Newsgroup			|Top 10 posters
doc/var/top10subjects.html		Steffen	2009	Jan	Newsgroup			|Top 10 subjects
doc/var/top10posterslastyear.html	Steffen	2009	Jan	Newsgroup		|Top 10 posters last year
doc/var/top10subjectslastyear.html	Steffen	2009	Jan	Newsgroup		|Top 10 subjects last year


